datetime,traffic,SO2,CO,O3,NO2,PM10,PM25
2018-02-05,33136.20557,0.00466185,0.430699171,0.020839898,0.02250724,28.31977667,15.04789174
2018-02-06,33708.20557,0.004751574,0.439723909,0.021626209,0.021516729,32.86523948,18.74653846
2018-02-07,34062.97213,0.005247714,0.62581306,0.010982581,0.040500239,41.94951613,24.70706909
2018-02-08,35174.74913,0.00614065,0.908495717,0.00534998,0.058275594,55.08984047,34.96498338
2018-02-09,35553.28223,0.007227712,1.000981498,0.005094346,0.066052615,72.64212897,49.205
2018-02-10,33442.03484,0.005973291,0.632664193,0.01748732,0.03567094,77.12033288,41.60117581
2018-02-11,28369.10105,0.005169872,0.415899123,0.023935897,0.020977564,53.97019793,14.75362298
2018-02-12,34540,0.005211647,0.429240425,0.020786545,0.027030457,50.83150965,14.48639542
2018-02-13,35354.65157,0.005834424,0.572215083,0.015445894,0.037693562,52.46667898,15.79222994
2018-02-14,34461.54007,0.006322691,0.605506607,0.022142193,0.036989377,70.92563439,30.65395137
2018-02-15,27272.73519,0.00509188,0.448504274,0.024064103,0.022725427,40.35790598,15.06630342
2018-02-16,27662.05575,0.005241228,0.558867521,0.019157051,0.032041667,46.7292229,22.03816477
2018-02-17,25119.80488,0.004710189,0.390646086,0.025310223,0.017887567,50.88931062,11.86991928
2018-02-18,25981.56098,0.005666442,0.549533288,0.017499775,0.031919872,38.70892375,17.16405508
2018-02-19,32732.25436,0.005776193,0.804100254,0.009401276,0.05119842,63.66291798,39.24893162
2018-02-20,34228.45645,0.005271232,0.721611705,0.017065695,0.039137459,66.13726391,39.41734805
2018-02-21,33996.02091,0.005197846,0.50263705,0.022325714,0.029660116,39.74176226,18.92111823
2018-02-22,34712.67247,0.005952833,0.59632773,0.018642844,0.039562738,46.93163902,27.08376306
2018-02-23,34138.5993,0.004964763,0.810811389,0.018545881,0.040209845,94.68130367,65.66173611
2018-02-24,33540.79443,0.004706019,0.677927928,0.020110141,0.034346763,80.09354801,52.33277778
2018-02-25,29250.54007,0.005005423,0.647672673,0.015995902,0.039604729,47.03957082,30.02798611
2018-02-26,34445.30662,0.007207556,0.852464839,0.008626273,0.061854279,67.91951142,41.88214372
2018-02-27,35164.14286,0.009236815,1.17739754,0.003358551,0.078147779,99.2507215,62.48203502
2018-02-28,34406.39373,0.005444831,0.766585356,0.011109304,0.046531069,69.40457782,43.81613593
2018-03-01,30143.03484,0.004104167,0.531828704,0.031203175,0.021706019,43.11401679,29.82008948
2018-03-02,33931.55401,0.00532539,0.58332458,0.017104171,0.042857989,72.0463955,26.31427728
2018-03-03,32511.40767,0.006376506,0.663693783,0.012571528,0.051361905,62.12929894,26.81453804
2018-03-04,26405.58885,0.004940546,0.615674603,0.011587335,0.038184987,31.58409795,20.73470438
2018-03-05,33319.33449,0.003960948,0.39604538,0.02849003,0.021798484,10.69322037,5.13163565
2018-03-06,34687.94774,0.004207235,0.542892893,0.01628475,0.037706297,34.40391543,17.27977564
2018-03-07,34754.98606,0.003896317,0.443997781,0.021049788,0.030294792,30.92399472,15.53892094
2018-03-08,34484.30662,0.003703899,0.518999578,0.022533106,0.026919523,35.42659413,26.73907728
2018-03-09,35492.93728,0.004399104,0.684572263,0.014583181,0.041592461,54.93412083,37.19531873
2018-03-10,33726.45645,0.005810811,0.63504195,0.018411569,0.040013306,49.44082075,32.45711538
2018-03-11,29206.12892,0.004838964,0.515759839,0.027673927,0.032697368,61.79713727,40.45833333
2018-03-12,33784.01742,0.006210301,0.814155598,0.016732437,0.059361448,103.7313893,64.40578526
2018-03-13,34799.16028,0.005656224,0.719120411,0.019953075,0.047932573,67.22202322,37.34222091
2018-03-14,35002.2439,0.00531848,0.450396874,0.023399022,0.030768656,26.63851304,12.1349911
2018-03-15,33259.52613,0.003970805,0.486701137,0.01306807,0.03180286,23.23967851,14.93382621
2018-03-16,34771.14634,0.003498936,0.393244649,0.029569114,0.021262995,15.83614479,6.575660613
2018-03-17,33476.38328,0.004139957,0.488354701,0.018618758,0.035608974,34.59165314,19.52118946
2018-03-18,29804.06969,0.00507265,0.684722222,0.014555921,0.048113248,64.82509002,46.12808642
2018-03-19,33825.05923,0.003625737,0.479638623,0.025311515,0.027200444,31.8713783,21.7417735
2018-03-20,35168.52962,0.003305399,0.353555612,0.035002762,0.017343433,21.14105866,7.881505223
2018-03-21,34003.15679,0.003278331,0.385627534,0.027642558,0.024447244,15.78383673,6.904462844
2018-03-22,35741.29965,0.00446923,0.530146738,0.023312726,0.036403208,45.68027609,26.45984509
2018-03-23,36243.54007,0.00612534,0.652207964,0.025439998,0.046226852,70.79944583,50.05916667
2018-03-24,34089.34843,0.006990741,0.815202703,0.029167763,0.050569079,116.8144427,86.1675
2018-03-25,29093.99303,0.005529332,0.852746496,0.03468504,0.039175587,124.625214,99.35373932
2018-03-26,33206.87456,0.005755255,0.866554054,0.021970395,0.054760254,109.7426209,71.24326923
2018-03-27,34633.57491,0.006725253,0.820084191,0.025758337,0.053992134,98.65685346,60.94257835
2018-03-28,34620.48432,0.005735736,0.616432057,0.028326636,0.036510402,57.96903989,37.127849
2018-03-29,35091.04181,0.00512899,0.577142349,0.022101852,0.039229837,66.17184863,43.19516916
2018-03-30,36650.36585,0.004658315,0.581516714,0.024144085,0.039775634,67.60824412,37.01448955
2018-03-31,34594.38328,0.005654279,0.548135965,0.028911155,0.038904605,60.4604982,29.38907882
